fame,segment,name_ko,stock_code,market,sector,group,homepage,ceo,listed,done,note
high,listed,고려아연,010130,KOSPI,1차 비철금속 제조업,,http://www.koreazinc.co.kr,박기덕,1990-07-28,,
high,listed,LG이노텍,011070,KOSPI,전자부품 제조업,LG,http://www.lginnotek.co.kr,문혁수,2008-07-24,Y,
high,listed,LG화학,051910,KOSPI,기초 화학물질 제조업,LG,http://www.lgchem.com,김동춘,2001-04-25,Y,
high,listed,한국전력,015760,KOSPI,전기업,,http://www.kepco.co.kr,김동철,1989-08-10,Y,
high,listed,삼성중공업,010140,KOSPI,선박 및 보트 건조업,삼성,http://www.samsungshi.com,최성안,1994-01-28,,
high,listed,우리금융지주,316140,KOSPI,기타 금융업,우리금융,http://www.woorifg.com/,임종룡,2019-02-13,Y,
high,listed,현대로템,064350,KOSPI,그외 기타 운송장비 제조업,,http://www.hyundai-rotem.co.kr,이용배,2013-10-30,Y,
high,listed,SK텔레콤,017670,KOSPI,전기 통신업,SK,http://www.sktelecom.com,정재헌,1989-11-07,Y,
high,listed,KT&G,033780,KOSPI,담배 제조업,KT,http://www.ktng.com,방경만,1999-10-08,Y,
high,listed,HD현대,267250,KOSPI,기타 금융업,HD현대,http://www.hd.com,"정기선, 조영철",2017-05-10,Y,
high,listed,HMM,011200,KOSPI,해상 운송업,,http://www.hmm21.com,최원혁,1995-10-05,Y,
high,listed,현대오토에버,307950,KOSPI,소프트웨어 개발 및 공급업,,http://www.hyundai-autoever.com,류석문,2019-03-28,Y,
high,listed,삼성에스디에스,018260,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",삼성,http://www.samsungsds.com,이준희,2014-11-14,,
high,listed,카카오,035720,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",카카오,http://www.kakaocorp.com,정신아,2017-07-10,Y,
high,listed,한화시스템,272210,KOSPI,전자부품 제조업,한화,http://hanwhasystems.com,손재일,2019-11-13,,
high,listed,SK이노베이션,096770,KOSPI,석유 정제품 제조업,SK,http://www.SKinnovation.com,"추형욱, 장용호",2007-07-25,,
high,listed,포스코퓨처엠,003670,KOSPI,일차전지 및 이차전지 제조업,포스코,http://www.poscofuturem.com,엄기천,2019-05-29,,
high,listed,현대건설,000720,KOSPI,토목 건설업,,http://www.hdec.kr,이한우,1984-12-22,,
high,listed,기업은행,024110,KOSPI,은행 및 저축기관,,http://www.ibk.co.kr,장민영,2003-12-24,,
high,listed,LIG디펜스앤에어로스페이스,079550,KOSPI,무기 및 총포탄 제조업,,http://www.lignex1.com,신익현,2015-10-02,,
high,listed,LG,003550,KOSPI,기타 금융업,LG,http://www.lg.co.kr,"구광모, 권봉석",1970-02-13,,
high,listed,현대글로비스,086280,KOSPI,기타 운송관련 서비스업,,http://www.glovis.net,이규복,2005-12-26,,
high,listed,에이피알,278470,KOSPI,기타 화학제품 제조업,,http://apr-in.com,김병훈,2024-02-27,,
high,listed,KT,030200,KOSPI,전기 통신업,KT,http://www.kt.com,박윤영,1998-12-23,Y,
high,listed,한국항공우주,047810,KOSPI,"항공기,우주선 및 부품 제조업",,http://www.koreaaero.com,김종출,2011-06-30,,
high,listed,한국금융지주,071050,KOSPI,기타 금융업,,http://www.koreaholdings.com,김남구,2003-07-21,,
high,listed,S-OIL,010950,KOSPI,석유 정제품 제조업,사우디아람코,http://www.s-oil.com,Anwar A. Al-Hejazi (안와르 에이 알-히즈아지),1987-05-27,Y,에쓰오일·010950(private 중복 제거)
high,listed,LS,006260,KOSPI,기타 금융업,LS,http://www.lsholdings.co.kr,명노현,1977-06-30,,
high,listed,카카오뱅크,323410,KOSPI,은행 및 저축기관,카카오,,윤호영,2021-08-06,Y,
high,listed,NH투자증권,005940,KOSPI,금융 지원 서비스업,농협,http://www.nhqv.com,윤병운,1975-09-30,Y,수집:T3 위키미디어 SVG
high,listed,HD현대마린솔루션,443060,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",HD현대,http://www.hd-marinesolution.com/,김성준,2024-05-08,,
high,listed,크래프톤,259960,KOSPI,소프트웨어 개발 및 공급업,,http://www.krafton.com,김창한,2021-08-10,Y,
high,listed,삼성증권,016360,KOSPI,금융 지원 서비스업,삼성,http://www.samsungpop.com,박종문,1988-03-28,,
high,listed,포스코인터내셔널,047050,KOSPI,상품 중개업,포스코,http://www.poscointl.com,대표이사 사장 이계인,2001-03-23,Y,수집:T1 헤더 SVG
high,listed,대한항공,003490,KOSPI,항공 여객 운송업,한진,http://www.koreanair.com,"조원태, 우기홍",1966-03-18,Y,
high,listed,DB손해보험,005830,KOSPI,보험업,DB,http://www.idbins.com,"김정남, 정종표",1973-06-28,,
high,listed,하이브,352820,KOSPI,오디오물 출판 및 원판 녹음업,,http://hybecorp.com,이재상,2020-10-15,,
high,listed,키움증권,039490,KOSPI,금융 지원 서비스업,다우키움,http://www.kiwoom.com,엄주성,2009-08-03,Y,needs-review:벡터 미가용
high,listed,삼성E&A,028050,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",삼성,http://www.samsungena.com,남궁홍,1996-12-24,,
high,listed,LG씨엔에스,064400,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",LG,http://www.lgcns.com,현신균,2025-02-05,,
high,listed,이수페타시스,007660,KOSPI,전자부품 제조업,,http://www.petasys.com,최창복,2003-10-07,,
high,listed,대우건설,047040,KOSPI,건물 건설업,,http://daewooenc.com,김보현,2001-03-23,,
high,listed,한국타이어앤테크놀로지,161390,KOSPI,고무제품 제조업,한국타이어,http://www.hankooktire.com,"안종선, 이상훈(공동대표이사)",2012-10-04,,
high,listed,삼양식품,003230,KOSPI,기타 식품 제조업,,http://www.samyangfoods.com,"김정수, 김동찬",1975-06-30,,
high,listed,한화,000880,KOSPI,기타 화학제품 제조업,한화,http://www.hanwhacorp.co.kr,"김동관, 류두형, 김우석",1976-06-24,,
high,listed,대덕전자,353200,KOSPI,전자부품 제조업,,http://www.daeduck.com,신영환,2020-05-21,,
high,listed,한진칼,180640,KOSPI,기타 금융업,한진,http://www.hanjinkal.co.kr,"조원태, 류경표",2013-09-16,,
high,listed,DB하이텍,000990,KOSPI,반도체 제조업,DB,http://www.dbhitek.co.kr,조기석,1975-12-12,,
mid,listed,대한전선,001440,KOSPI,절연선 및 케이블 제조업,,http://www.taihan.com,송종민,1968-12-27,,
mid,listed,두산로보틱스,454910,KOSPI,특수 목적용 기계 제조업,두산,http://www.doosanrobotics.com,"박인원, 김민표, 조길성",2023-10-05,,
mid,listed,산일전기,062040,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",,http://www.sanil.co.kr,"박동석, 한익희 (공동대표)",2024-07-29,,
